"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_setup_teardown_pytest","","","","test_2",""
"broken","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","2","pytest-practice","test_fixtrueYield","","","","test01",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case3[测-python-2]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_class","TestClass","","","test_1",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case3[君-java-1]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize_request","","","","test_getuserinfo[2-hameimei]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_parametrize_request","","","","test_getuserinfo[3-hameimei]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_setup_teardown_unittest","TestUnitTest","","","testB","用例B"
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case3[测-java-1]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_fixture_scopeFunction","","","","test_defaultScope1",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case2[输入值4]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_parametrize","","","","test_parametrize_1[json0]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case3[试-python-2]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_parametrize_request","","","","test_getuserinfo[3-lilei]",""
"broken","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_assertexception","","","","test_myfuntion",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_parametrize","","","","test_case3[测-java-2]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","228","pytest-practice","test_assertExp","","","","test_assert",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","2","test_query","test_case1","","","","test_query_shop",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_repeat","","","","test_repeat2[1-3]",""
"passed","Sun Nov 29 16:14:45 CST 2020","Sun Nov 29 16:14:45 CST 2020","1","pytest-practice","test_scope2","","","","testScope2",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_setup_teardown_unittest","TestUnitTest","","","testA","用例A"
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_1_1","Testclass","","","test_defaultScope2",""
"failed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","1","pytest-practice","test_fixtureParams","","","","test_params[2]",""
"passed","Sun Nov 29 16:14:35 CST 2020","Sun Nov 29 16:14:35 CST 2020","0","pytest-practice","test_setup_teardown_pytest","TestClass","","","test_B",""
